url,slokenumber,text
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-1'],Thus when Shuurpanakha disparaged that valiant Khara amidst demons he is infuriated and spoke these  highly hurtful words. [3-22-1]
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-2'],"""This fury of mine originating from the disgrace brought on you is like the highly bitter salt water  that is impossible to contain when ingested. [3-22-2]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-3'],"""I do not care the valour of that Rama for he is a human with dwindled lifetime, now going to give up  his life slain by his own misdoings. [3-22-3]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-4'],"""Control your tears and cast off your despair too, for I will send Rama to the abode of the Terminator  along with his brother. [3-22-4]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-5'],"""Now, you demoness, you will swill that Rama's red hot blood when that short-lived one is hewed down  to earth with an axe."" So Khara assured Shuurpanakha. [3-22-5]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-6'],"On hearing the words plunged from the mouth of Khara she is very much gladdened and in all her stupidity  she further praised her brother highly saying, ""you are the best among all the demons..."" [3-22-6]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-7'],"Though she denounced him earlier she alone praised him now for which Khara is overjoyed, and then he  ordered his army commander, namely Duushana. [3-22-7]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-8'],"""Those who are the followers of my will, whose hustle will be frightful and who will be unretreating  in combats, such of those demons are there in fourteen thousand numbers, aren't they. [3-22-8]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-9'],"""And oh, gentle Duushana, those domineering demons are with dark-clouds like complexions, and they are  the pamperers of genocide, as such, cause them for a belligerency, all at once. [3-22-9]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-10'],"""For me, oh, gentle one, promptly position my chariot before me along with bows and arrows, amazing  swords and diverse sharp power bolts. [3-22-10]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-11'],"""Oh, war pert Duushana, I wish to start ahead of all the demons of ours, who are the clans-demons of  the great souled Paulastya, for the purpose of elimination of that evil-minded Rama."" So said Khara  to Duushana. [3-22-11]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-12'],"While Khara is saying thus Duushana heralded saying, ""Here comes the great chariot with sun's dazzle,  yoked with very good horses of variegated colours."" [3-22-12]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,"['3-22-13', ' 14', ' 15']","That chariot which has a roomy cabin with its rooftop like that of the ridge of Mt. Meru, body embellished  in gold, wheels golden, gem-studded yoke-to-carriage shaft, all around encompassed with golden artefacts  like fishes, flowers, trees, mountains, sun, moon, and auspicious birds flocks and stars, and even decorated  with jingle-bells, endowed with flags, swords, and best horses, and such as it is, Khara embarked on  it with all his rancour. [3-22-13, 14, 15]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-16'],"On overseeing that great army with chariots, skins shields, weaponry and flags, and even at Duushana  too, Khara charged all those demons saying ""proceed."" [3-22-16]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-17'],"Then that demonic force with their ghoulish skin shields, weaponry and flags, issued forth from Janasthaana,  blaring blatantly and foraying dashingly. [3-22-17]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,"['3-22-18', ' 19', '  20']","Wielding maces, dart-bolts, and spears, and also razor-sharp axes, swords and discs, and dreadful power-darts  and power-bolts that are flashing, iron maces, unusual bows, clubs, scimitars and pounding-shafts, and  even thunderbolt like weapons that are calamitous in look, that army which comprises fourteen thousand  fiendish demons that are the followers of Khara's whim, has started from Janasthaana. [3-22-18, 19,  20]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-21'],"On seeing the outrush of those demons of diabolic appearance, then Khara's chariot also proceeded a  little later at their behind. [3-22-21]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-22'],Then the charioteer set spurs on those colourful horses that are adorned in polished gold according  to the notions of Khara. [3-22-22]
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-23'],"When the chariot of enemy destroyer Khara is driven that impetuously, it has started to swell earth's  four cardinal quarters and inter-quarters with turbulence. [3-22-23]"
https://www.valmikiramayan.net/utf8/aranya/sarga22/aranyasans22.htm,['3-22-24'],"He whose voice is thunderous and whose rancour escalated speedily, and who is hastening forward like  the Terminator intending to destroy his enemy, that Khara repeatedly hurried the charioteer shouting  at him loudly like a overwhelming cloud that is going to storm stones. [3-22-24]"
